commits,commits_per_month,changes,changes_per_commit,changes_per_month,grade
29,5,2731,94,546,8.65
16,3,143,8,28,4.81
25,5,2117,84,423,8.37
31,6,2649,85,529,8.58
15,3,552,36,110,6.05
26,5,2329,89,465,8.53
45,9,1151,25,230,6.81
27,5,1503,55,300,7.14
49,9,3409,69,681,8.57
41,8,2371,57,474,7.89
38,7,3447,90,689,8.98
12,2,407,33,81,5.48
27,5,2598,96,519,8.77
34,6,2802,82,560,8.41
31,6,803,25,160,6.19
36,7,981,27,196,6.47
31,6,158,5,31,5.34
27,5,1401,51,280,6.99
24,4,862,35,172,6.04
41,8,3307,80,661,8.8
22,4,228,10,45,5.08
40,8,726,18,145,6.32
29,5,1906,65,381,7.5
40,8,3504,87,700,9.09
31,6,3067,98,613,9.11
44,8,1964,44,392,7.35
39,7,1984,50,396,7.37
31,6,1443,46,288,7.02
29,5,1534,52,306,6.98
47,9,2002,42,400,7.48
37,7,3425,92,685,9.06
31,6,2485,80,497,8.38
19,3,1246,65,249,6.95
37,7,863,23,172,6.29
14,2,269,19,53,4.72
24,4,147,6,29,4.84
23,4,149,6,29,4.86
32,6,1185,37,237,6.64
48,9,3239,67,647,8.48
11,2,731,66,146,6.9
33,6,350,10,70,5.55
11,2,667,60,133,6.66
30,6,1492,49,298,7.17
24,4,605,25,121,5.63
23,4,2011,87,402,8.15
37,7,913,24,182,6.34
41,8,671,16,134,6.24
43,8,2616,60,523,8.0
16,3,226,14,45,5.07
37,7,619,16,123,6.01
25,5,1276,51,255,7.04
48,9,3866,80,773,9.01
48,9,3018,62,603,8.29
25,5,1607,64,321,7.56
41,8,2644,64,528,8.16
22,4,1855,84,371,8.06
35,7,1412,40,282,7.0
17,3,502,29,100,5.61
39,7,145,3,29,5.49
42,8,3118,74,623,8.55
10,2,624,62,124,6.88
43,8,2647,61,529,8.03
45,9,3023,67,604,8.48
16,3,1522,95,304,8.31
49,9,1020,20,204,6.61
25,5,697,27,139,6.09
24,4,1726,71,345,7.48
46,9,1251,27,250,6.88
25,5,307,12,61,5.47
18,3,218,12,43,4.84
29,5,1029,35,205,6.29
35,7,1128,32,225,6.68
42,8,616,14,123,6.15
47,9,2786,59,557,8.16
31,6,1995,64,399,7.74
32,6,292,9,58,5.5
35,7,2802,80,560,8.6
49,9,3271,66,654,8.45
28,5,643,22,128,5.8
36,7,2872,79,574,8.56
21,4,1672,79,334,7.91
29,5,1160,40,232,6.48
15,3,944,62,188,7.09
30,6,605,20,121,6.0
24,4,1266,52,253,6.72
47,9,3042,64,608,8.37
16,3,902,56,180,6.76
12,2,1070,89,214,7.71
10,2,701,70,140,7.2
46,9,991,21,198,6.65
37,7,1437,38,287,6.91
49,9,674,13,134,6.32
24,4,1498,62,299,7.11
35,7,146,4,29,5.55
36,7,2559,71,511,8.22
24,4,808,33,161,5.95
27,5,839,31,167,6.16
44,8,2540,57,508,7.87
19,3,1428,75,285,7.34
24,4,767,31,153,5.88
16,3,492,30,98,5.72
13,2,188,14,37,4.6
14,2,633,45,126,5.78
13,2,1206,92,241,7.75
14,2,1102,78,220,7.12
16,3,1267,79,253,7.68
37,7,2278,61,455,7.82
29,5,1221,42,244,6.56
25,5,678,27,135,6.07
28,5,2574,91,514,8.56
46,9,3129,68,625,8.51
49,9,3804,77,760,8.89
50,10,684,13,136,6.52
31,6,890,28,178,6.31
27,5,2305,85,461,8.34
29,5,1160,40,232,6.48
29,5,176,6,35,5.11
50,10,4114,82,822,9.28
44,8,1394,31,278,6.83
44,8,4314,98,862,9.5
29,5,117,4,23,5.01
41,8,798,19,159,6.35
31,6,143,4,28,5.31
30,6,1776,59,355,7.56
28,5,2549,91,509,8.54
34,6,2343,68,468,7.86
29,5,1059,36,211,6.33
16,3,1442,90,288,8.11
28,5,640,22,128,5.8
30,6,1017,33,203,6.53
26,5,978,37,195,6.45
39,7,1092,28,218,6.47
24,4,989,41,197,6.26
11,2,334,30,66,5.44
14,2,828,59,165,6.34
39,7,3873,99,774,9.32
46,9,847,18,169,6.52
31,6,2915,94,583,8.94
21,4,1786,85,357,8.14
11,2,663,60,132,6.65
40,8,1161,29,232,6.76
14,2,770,55,154,6.19
37,7,3581,96,716,9.23
34,6,2403,70,480,7.94
50,10,484,9,96,6.36
14,2,222,15,44,4.59
29,5,1961,67,392,7.58
13,2,1074,82,214,7.34
15,3,392,26,78,5.63
48,9,273,5,54,5.99
27,5,1535,56,307,7.19
27,5,196,7,39,5.21
