commits,commits_per_month,changes,changes_per_commit,changes_per_month,grade
46,7,1149,24,191,3.34
84,14,1376,16,229,5.27
1,0,1203,1203,200,2.43
63,10,1120,17,186,4.01
2,0,1433,716,238,2.43
87,14,2587,29,431,6.96
52,8,1603,30,267,4.2
19,3,561,29,93,1.52
40,6,229,5,38,1.86
28,4,1743,62,290,3.42
79,13,1321,16,220,4.98
81,13,2038,25,339,5.98
84,14,1891,22,315,5.97
25,4,2720,108,453,4.7
2,0,1158,579,193,1.97
70,11,1799,25,299,5.19
64,10,2169,33,361,5.44
86,14,2568,29,428,6.91
69,11,1407,20,234,4.64
23,3,2671,116,445,4.47
75,12,1102,14,183,4.48
47,7,1078,22,179,3.26
54,9,1775,32,295,4.59
48,8,1098,22,183,3.44
43,7,545,12,90,2.47
72,12,131,1,21,3.11
63,10,403,6,67,3.05
8,1,2954,369,492,4.47
70,11,1713,24,285,5.07
57,9,1781,31,296,4.66
34,5,2927,86,487,5.26
35,5,1011,28,168,2.69
77,12,1507,19,251,5.06
73,12,1407,19,234,4.85
29,4,2925,100,487,5.05
81,13,1910,23,318,5.81
57,9,722,12,120,3.23
37,6,2946,79,491,5.47
95,15,1648,17,274,5.98
79,13,2092,26,348,6.01
41,6,106,2,17,1.71
1,0,1538,1538,256,3.11
54,9,2805,51,467,5.98
36,6,132,3,22,1.65
92,15,1737,18,289,6.04
52,8,1524,29,254,4.09
85,14,2939,34,489,7.39
88,14,1341,15,223,5.31
69,11,1097,15,182,4.22
40,6,1761,44,293,3.93
18,3,735,40,122,1.74
87,14,129,1,21,3.66
48,8,189,3,31,2.21
78,13,1223,15,203,4.82
8,1,1693,211,282,2.68
71,11,194,2,32,3.05
96,16,281,2,46,4.29
2,0,1395,697,232,2.37
28,4,2822,100,470,4.89
95,15,1840,19,306,6.24
95,15,458,4,76,4.39
51,8,1261,24,210,3.72
68,11,1591,23,265,4.87
58,9,1903,32,317,4.84
77,12,2191,28,365,5.98
50,8,255,5,42,2.34
73,12,1446,19,241,4.9
88,14,185,2,30,3.75
93,15,1061,11,176,5.15
68,11,393,5,65,3.26
90,15,1167,12,194,5.24
64,10,2670,41,445,6.12
6,1,1496,249,249,2.41
100,16,1988,19,331,6.66
58,9,1677,28,279,4.54
30,5,477,15,79,1.87
41,6,1256,30,209,3.26
93,15,2434,26,405,7.0
28,4,2463,87,410,4.4
3,0,2010,670,335,3.19
30,5,291,9,48,1.62
58,9,2133,36,355,5.15
39,6,906,23,151,2.75
54,9,2722,50,453,5.87
7,1,2335,333,389,3.6
97,16,581,5,96,4.71
41,6,1636,39,272,3.77
6,1,792,132,132,1.39
70,11,364,5,60,3.26
15,2,442,29,73,1.16
31,5,1858,59,309,3.76
99,16,2094,21,349,6.79
95,15,2469,25,411,7.08
91,15,2169,23,361,6.6
78,13,191,2,31,3.44
79,13,2426,30,404,6.46
81,13,477,5,79,3.88
86,14,2363,27,393,6.64
3,0,1399,466,233,2.24
21,3,2010,95,335,3.54
50,8,265,5,44,2.36
89,14,749,8,124,4.53
93,15,2779,29,463,7.46
34,5,1950,57,325,3.94
91,15,1847,20,307,6.17
16,2,193,12,32,0.83
98,16,298,3,49,4.36
98,16,1709,17,284,6.25
50,8,1212,24,202,3.63
26,4,1643,63,273,3.25
86,14,2595,30,432,6.95
25,4,136,5,22,1.18
71,11,2167,30,361,5.7
69,11,318,4,53,3.18
67,11,684,10,114,3.63
72,12,1531,21,255,4.99
15,2,1610,107,268,2.77
79,13,403,5,67,3.75
27,4,2729,101,454,4.74
65,10,532,8,88,3.26
23,3,2295,99,382,3.96
68,11,194,2,32,2.99
35,5,1693,48,282,3.61
66,11,365,5,60,3.18
42,7,1623,38,270,3.9
36,6,2374,65,395,4.68
47,7,1178,25,196,3.4
64,10,832,13,138,3.65
25,4,341,13,56,1.46
12,2,628,52,104,1.36
36,6,1152,32,192,3.03
87,14,424,4,70,4.06
60,10,455,7,75,3.06
40,6,1412,35,235,3.45
95,15,486,5,81,4.43
35,5,1189,33,198,2.93
71,11,970,13,161,4.09
15,2,1062,70,177,2.01
1,0,743,743,123,1.51
23,3,1540,66,256,2.93
57,9,2179,38,363,5.2
70,11,1360,19,226,4.6
33,5,1974,59,329,3.96
74,12,2099,28,349,5.79
13,2,412,31,68,1.08
75,12,919,12,153,4.23
92,15,2917,31,486,7.62
58,9,2086,35,347,5.09
43,7,2928,68,488,5.68
46,7,2750,59,458,5.5
98,16,2853,29,475,7.78
36,6,725,20,120,2.45
39,6,2105,53,350,4.37
97,16,1028,10,171,5.32
7,1,2359,337,393,3.64
39,6,1294,33,215,3.27
6,1,2497,416,416,3.85
25,4,2271,90,378,4.09
12,2,472,39,78,1.14
26,4,2799,107,466,4.82
97,16,1883,19,313,6.46
9,1,1683,187,280,2.67
46,7,1345,29,224,3.61
13,2,2877,221,479,4.49
98,16,830,8,138,5.07
44,7,2600,59,433,5.26
83,13,1937,23,322,5.88
91,15,478,5,79,4.33
50,8,2303,46,383,5.1
17,2,2585,152,430,4.14
90,15,1102,12,183,5.15
60,10,1114,18,185,3.94
43,7,763,17,127,2.76
92,15,2205,23,367,6.67
28,4,2518,89,419,4.47
44,7,1907,43,317,4.32
59,9,1813,30,302,4.74
92,15,2721,29,453,7.36
65,10,366,5,61,3.04
97,16,2234,23,372,6.93
79,13,412,5,68,3.76
18,3,1323,73,220,2.55
42,7,577,13,96,2.49
97,16,1257,12,209,5.62
41,6,268,6,44,1.93
83,13,216,2,36,3.57
91,15,2883,31,480,7.56
68,11,2004,29,334,5.43
41,6,1104,26,184,3.06
92,15,1519,16,253,5.75
52,8,1544,29,257,4.12
47,7,1723,36,287,4.14
62,10,1160,18,193,4.05
83,13,2365,28,394,6.46
22,3,2698,122,449,4.49
26,4,257,9,42,1.37
31,5,2388,77,398,4.48
62,10,1388,22,231,4.35
96,16,801,8,133,4.99
58,9,273,4,45,2.65
83,13,2762,33,460,6.99
2,0,2864,1432,477,4.82
43,7,1508,35,251,3.77
50,8,2404,48,400,5.23
14,2,2480,177,413,3.95
43,7,2178,50,363,4.67
73,12,2355,32,392,6.12
66,11,1025,15,170,4.07
1,0,104,104,17,0.23
31,5,2876,92,479,5.14
8,1,2462,307,410,3.77
40,6,1063,26,177,2.98
77,12,1182,15,197,4.63
52,8,1135,21,189,3.57
74,12,2763,37,460,6.69
20,3,656,32,109,1.67
10,1,792,79,132,1.43
20,3,961,48,160,2.09
27,4,2424,89,404,4.33
25,4,1513,60,252,3.06
34,5,487,14,81,1.96
87,14,1706,19,284,5.78
46,7,2966,64,494,5.79
73,12,766,10,127,3.99
67,11,177,2,29,2.95
43,7,1447,33,241,3.69
90,15,2331,25,388,6.8
11,1,1424,129,237,2.33
73,12,1742,23,290,5.3
32,5,2123,66,353,4.14
13,2,1529,117,254,2.62
71,11,1656,23,276,5.02
76,12,168,2,28,3.25
33,5,1612,48,268,3.46
4,0,1890,472,315,2.92
7,1,1938,276,323,3.03
66,11,1094,16,182,4.16
54,9,1344,24,224,4.01
49,8,2278,46,379,5.05
63,10,2661,42,443,6.08
55,9,583,10,97,3.01
2,0,557,278,92,0.97
45,7,2037,45,339,4.52
40,6,401,10,66,2.09
